Placa ,Veículo ,Ano,Cor ,Patio,Calção ,Prazo ,Mensal ,URL 
FBM5731,CLASSIC LS,2012,Prata,Caraguá,"R$ 5.900,00",36,"R$ 687,00",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=hAJ5r1Imfck=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
OWM1899,SANDERO EXPRESSION HI-FLEX 1.0 ,2014,Prata,Caraguá,"R$ 8.900,00",36,"R$ 961,80",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=8/vzgGpQQ50=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=pfsDMAuSUFA=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
OQS4284,Sandero  Expression 1.6 ,2014,Prata,Caraguá,"R$ 8.900,00",36,"R$ 965,92",
EVH5280,VECTRA  GT 2.0FLEX,2011,Prata,só barato,"R$ 8.900,00",36,"R$ 998,44",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=8/vzgGpQQ50=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=fBXjhcc91XY=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FSI3546,SIENA EL 1.4  Flex ,2015,Prata,Caraguá,"R$ 9.900,00",36,"R$ 1.145,00",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=H24L8I2Ft9Q=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=iGfOsf2vpgs=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
EWN1585, 3008 ALLURE,2012,Branco,Caraguá,"R$ 11.970,00",36,"R$ 1.324,99",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=H24L8I2Ft9Q=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=iGfOsf2vpgs=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
PYC2343, HB20S 1.6 Comfort Plus,2016,Preto,Caraguá,"R$ 14.900,00",36,"R$ 1.328,20",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=58CaB3favYg=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
BAR3653,Versa 1.6 16V SV CVT (Flex),2017,Branco,Caraguá,"R$ 14.900,00",36,"R$ 1.584,68",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=NmFTBxgGDg0=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
EKS2677, Santa Fe GLS 3.5 V6 4x4 ,2012,Prata,Caraguá,"R$ 14.900,00",36,"R$ 1.648,80",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=Rs2f5rBykAU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=a7IRjVPyPzk=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
QDA9364,Duster 2.0 16V Dakar 4x4 (Flex),2016,Prata,Caraguá,"R$ 17.900,00",36,"R$ 1.877,80",
AZA7135, Lancer 2.0  HLE CVT,2017,Cinza,Caraguá,"R$ 19.900,00",36,"R$ 1.927,72",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=6aEWEkRZIAY=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
PKC7695,Ecosport Titanium 2.0 PowerShift ,2017,Vermelho,Caraguá,"R$ 19.900,00",36,"R$ 1.996,88",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=8/vzgGpQQ50=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=VPERjsqfFDE=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
EMN4750,UNO -   FIRE FLEX 8V,2011,Branco,Centro,"R$ 4.900,00",36,"R$ 499,00",
FCT3158, Uno Vivace flex  2p,2016,Prata,Centro,"R$ 6.900,00",36,"R$ 687,00",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=gb1B8nuJCj8=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FGZ4962,Classic LS VHC 1.0 Flex,2014,Branco,Centro,"R$ 7.900,00",36,"R$ 874,32",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=hD1FOAteY2w=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FIZ1485,SANDERO 1.6 STEPWAY  AUTOMÁTICO,2013,Prata,Centro,"R$ 10.900,00",36,"R$ 998,44",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=3t7xjZcWg/k=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FCK3200,208 1.5 ACTIVE  FLEX 4P ,2015,Vermelho,Centro,"R$ 10.900,00",36,"R$ 1.099,20",
FGZ5578,AGILE 1.4 MT LTZ,2014,Branco,Centro,"R$ 9.900,00",36,"R$ 1.099,20",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=R32FUHeeQlU=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FOC1198,LOGAN EXPRESSION FLEX ,2014,Branco,Centro,"R$ 9.870,00",36,"R$ 1.100,57",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=tiQVFmVlSpQ=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
PQV0348,Palio Attractive 1.0,2017,Prata,Centro,"R$ 10.900,00",36,"R$ 1.190,80",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=tXN1ca6yd1o=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
QGV7733,HB20 1.6 Comfort Plus,2015,Branco,Centro,"R$ 11.900,00",36,"R$ 1.240,72",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=NxLEweGTssg=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FHF8784,LANCER  - GT 2.0  160CV AUT.,2013,Branco,Centro,"R$ 13.900,00",36,"R$ 1.465,60",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=dzy5gcCrbtg=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
QNL6790,Duster 2.0 Dynamique automático,2018,Branco,Centro,"R$ 20.900,00",36,"R$ 1.786,20",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=2hS5Ud2J0Qs=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FIK0958,JETTA  -TL,2016,Prata,Centro,"R$ 19.900,00",36,"R$ 1.923,60",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=tK0un/b7ZRY=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
BBD5291,Captur Intense 2.0 16v (Aut),2018,Branco,Centro,"R$ 22.900,00",36,"R$ 2.427,40",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=eYeLwNmXXqM=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FTJ7073,CRETA PULSE PLUS AUTOMATICA,2018,Branco,Centro,"R$ 25.900,00",36,"R$ 2.477,32",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=waTfm3ouJAs=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
HOG5495, CLASSIC LS,2011,Prata,JK ,"R$ 5.900,00",36,"R$ 782,72",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=qjcmrBExieg=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=xaHLjNvSMyE=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
ETE1260, FIESTA 1.0 8V FLEX 5P,2013,Vermelho,JK ,"R$ 6.900,00",36,"R$ 828,52",
FGR8420, Classic LS VHC  1.0 Flex,2013,Cinza,JK ,"R$ 5.900,00",36,"R$ 870,20",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=mzNXUYDtiuU=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FHM3197,GOL  CITY  FLEX 4P,2014,Cinza,JK ,"R$ 7.900,00",36,"R$ 874,32",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=039ZHVxV8WM=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
AYY9825,PALIO FLEX 1.0,2015,Branco,JK ,"R$ 7.900,00",36,"R$ 876,15",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=IyoOWbMmwug=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
AYY9822,PALIO fire FLEX 1.0,2015,Branco,JK ,"R$ 6.900,00",36,"R$ 916,00",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=qjcmrBExieg=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=IgRUaSuUo3k=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
